Course ID,Required Course
ITCS 2301,ITIS 1301
ITCS 3112,ITSC 2214
ITCS 3120,ITSC 2214
ITCS 3120,MATH 2164
ITCS 3134,ITSC 2214
ITCS 3134,MATH 1242
ITCS 3134,MATH 2164
ITCS 3143,ITSC 2214
ITCS 3152,ITSC 2214
ITCS 3153,STAT 2122
ITCS 3153,MATH 2164
ITCS 3153,ITSC 2214
ITCS 3156,ITSC 2214
ITCS 3156,STAT 2122
ITCS 3156,MATH 2164
ITCS 3160,ITSC 1213
ITCS 3162,ITSC 2214
ITCS 3166,ITSC 1213
ITCS 3190,ITSC 2214
ITCS 3211,ITCS 3610
ITCS 3211,ITCS 1610
ITCS 3212,ITCS 3610
ITCS 3212,ITCS 1610
ITCS 3216,PSYC 1101
ITCS 4101,ITCS 3156
ITCS 4102,ITSC 2214
ITCS 4114,ITSC 2214
ITCS 4114,ITSC 2175
ITCS 4121,ITSC 1213
ITCS 4122,STAT 1220
ITCS 4122,STAT 1221
ITCS 4122,STAT 1222
ITCS 4122,STAT 2122
ITCS 4122,STAT 2223
ITCS 4123,ITSC 2214
ITCS 4124,ITCS 3120
ITCS 4125,ITSC 2214
ITCS 4141,ITSC 3146
ITCS 4145,ITSC 3146
ITCS 4150,ITSC 2214
ITCS 4150,MATH 2164
ITCS 4151,ITSC 2214
ITCS 4151,MATH 2164
ITCS 4152,ITCS 3156
ITCS 4158,ITSC 2214
ITCS 4158,MATH 2164
ITCS 4165,ITSC 3155
ITCS 4180,ITSC 2214
ITCS 4182,ITCS 4145
ITCS 4230,ITSC 2214
ITCS 4231,ITCS 4230
ITCS 4232,ITSC 3155
ITCS 4232,ITCS 4231
ITCS 4235,ITCS 3120
ITCS 4236,ITCS 3153
ITCS 4237,MATH 1242
ITCS 4237,MATH 2164
ITCS 4237,ITCS 2215
ITCS 4238,ITCS 3153
ITIS 3261,ITSC 1212
ITIS 4261,ITSC 3146
ITSC 4155,ITSC 2214
ITSC 4155,ITSC 3155
ITSC 4155,ITIS 3300
ITSC 4155,ITIS 3310
ITSC 4682,ITSC 4681
ITSC 4851,ITSC 4850
ITSC 4991,ITCS 4232
ITSC 4991,ITSC 4155
ITSC 4991,ITSC 4681
ITSC 4991,ITSC 4850
ITSC 4991,ITSC 4990
ITSC 1213,ITSC 1212
ITSC 1213,DTSC 1302
ITSC 2175,ITSC 1212
ITSC 2175,DTSC 1302
ITSC 2175,MATH 1120
ITSC 2175,MATH 1241
ITSC 2181,ITSC 1212
ITSC 2181,DTSC 1302
ITSC 2214,ITSC 1213
ITSC 3146,ITSC 2214
ITSC 3146,ITSC 2181
ITSC 3155,ITSC 2214
ITSC 3181,ITSC 1213
ITSC 3181,ITSC 2175
ITSC 3181,MATH 2165
CMET 2105L,CMET 2105
CMET 2105L,CMET 2221
CMET 2135,ETCE 1104
